rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1682468248690353626,,78118,,1682468248,688880204,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.07214576005935669, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248723305220,,78119,,1682468248,721372947,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.07214576005935669, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248756554769,,78120,,1682468248,754089499,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.07214576005935669, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248794028261,,78121,,1682468248,790153122,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.07214576005935669, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248823330222,,78122,,1682468248,820003824,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.07214576005935669, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248860816226,,78123,,1682468248,859909306,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.07214576005935669, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248886034470,,78124,,1682468248,885214655,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.07214576005935669, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248924093407,,78125,,1682468248,921280646,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.07214576005935669, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248959671073,,78126,,1682468248,955006935,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.07214576005935669, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248993932312,,78127,,1682468248,991229471,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.07214576005935669, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249022380953,,78128,,1682468249,18898618,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.07214576005935669, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249054355003,,78129,,1682468249,52408745,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.07214576005935669, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249090362497,,78130,,1682468249,88807027,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.07214576005935669, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249124219668,,78131,,1682468249,122548869,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.07214576005935669, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249154068739,,78132,,1682468249,152657686,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.07214576005935669, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
